Fips,State_fips,Pop,State_pop,Ratio,Date,Proj_inc_deaths,True_inc_deaths,Naive_proj_deaths,Naive_true_deaths
37001,37,169185,10367022,0.016319537085963547,20200620,122.95238,104.0,2.006525881470286,1.697231856940209
37001,37,169185,10367022,0.016319537085963547,20200627,100.308655,95.0,1.6369908118094723,1.550356023166537
37001,37,169185,10367022,0.016319537085963547,20200704,119.399124,80.0,1.9485384345241803,1.3055629668770838
37001,37,169185,10367022,0.016319537085963547,20200711,100.119064,106.0,1.6338967833626172,1.729870931112136
37001,37,169185,10367022,0.016319537085963547,20200718,120.17633,133.0,1.9612220835334815,2.1704984324331518
37001,37,169185,10367022,0.016319537085963547,20200725,131.0,148.0,2.137859358261225,2.415291488722605
37001,37,169185,10367022,0.016319537085963547,20200801,152.0,188.0,2.480569637066459,3.068072972161147
37001,37,169185,10367022,0.016319537085963547,20200808,162.0,195.0,2.6437650079260946,3.1823097317628917
37001,37,169185,10367022,0.016319537085963547,20200815,208.0,186.0,3.394463713880418,3.0354338979892197
37001,37,169185,10367022,0.016319537085963547,20200822,149.0,176.0,2.4316110258085684,2.8722385271295843
37001,37,169185,10367022,0.016319537085963547,20200829,165.0,162.0,2.6927236191839854,2.6437650079260946
37001,37,169185,10367022,0.016319537085963547,20200905,157.0,205.0,2.562167322496277,3.345505102622527
37001,37,169185,10367022,0.016319537085963547,20200912,176.0,160.0,2.8722385271295843,2.6111259337541677
37001,37,169185,10367022,0.016319537085963547,20200919,157.0,187.0,2.562167322496277,3.051753435075183
37001,37,169185,10367022,0.016319537085963547,20200926,171.0,198.0,2.7906408416997666,3.2312683430207825
37001,37,169185,10367022,0.016319537085963547,20201003,171.0,189.0,2.7906408416997666,3.0843925092471105
37001,37,169185,10367022,0.016319537085963547,20201010,177.0,139.0,2.8885580642155477,2.268415654948933
37001,37,169185,10367022,0.016319537085963547,20201017,162.0,169.0,2.6437650079260946,2.7580017675278397
37001,37,169185,10367022,0.016319537085963547,20201024,162.0,215.0,2.6437650079260946,3.5087004734821625
37001,37,169185,10367022,0.016319537085963547,20201031,198.0,230.0,3.2312683430207825,3.753493529771616
37001,37,169185,10367022,0.016319537085963547,20201107,221.0,229.0,3.606617695997944,3.737173992685652
37001,37,169185,10367022,0.016319537085963547,20201114,223.0,154.0,3.639256770169871,2.513208711238386
37001,37,169185,10367022,0.016319537085963547,20201121,200.0,252.0,3.2639074171927094,4.112523345662814
37001,37,169185,10367022,0.016319537085963547,20201128,257.0,214.0,4.194121031092632,3.492380936396199
37001,37,169185,10367022,0.016319537085963547,20201205,242.0,298.0,3.9493279748031784,4.863222051617137
37001,37,169185,10367022,0.016319537085963547,20201212,315.0,284.0,5.140654182078517,4.6347485324136475
37001,37,169185,10367022,0.016319537085963547,20201219,347.0,391.0,5.662879368829351,6.380939000611747
37001,37,169185,10367022,0.016319537085963547,20201226,408.0,352.0,6.658371131073127,5.7444770542591685
37001,37,169185,10367022,0.016319537085963547,20210102,367.0,359.0,5.989270110548622,5.858713813860914
37001,37,169185,10367022,0.016319537085963547,20210109,366.0,535.0,5.972950573462659,8.730952340990498
37001,37,169185,10367022,0.016319537085963547,20210116,537.0,592.0,8.763591415162425,9.66116595489042
37001,37,169185,10367022,0.016319537085963547,20210123,596.0,563.0,9.726444103234273,9.187899379397477
37001,37,169185,10367022,0.016319537085963547,20210130,583.0,592.0,9.514290121116748,9.66116595489042
37001,37,169185,10367022,0.016319537085963547,20210206,622.0,747.0,10.150752067469327,12.19069420321477
37001,37,169185,10367022,0.016319537085963547,20210213,613.0,520.0,10.003876233695655,8.486159284701044
37001,37,169185,10367022,0.016319537085963547,20210220,515.0,448.0,8.404561599271227,7.311152614511669
37001,37,169185,10367022,0.016319537085963547,20210227,421.0,310.0,6.870525113190653,5.0590564966487
37001,37,169185,10367022,0.016319537085963547,20210306,314.0,280.0,5.124334644992554,4.569470384069794
37001,37,169185,10367022,0.016319537085963547,20210313,253.0,196.0,4.128842882748778,3.198629268848855
37001,37,169185,10367022,0.016319537085963547,20210320,194.0,132.0,3.165990194676928,2.1541788953471883
37001,37,169185,10367022,0.016319537085963547,20210327,132.0,201.0,2.1541788953471883,3.280226954278673
37001,37,169185,10367022,0.016319537085963547,20210403,140.0,112.0,2.284735192034897,1.8277881536279172
37001,37,169185,10367022,0.016319537085963547,20210410,132.0,113.0,2.1541788953471883,1.844107690713881
37001,37,169185,10367022,0.016319537085963547,20210417,111.0,142.0,1.8114686165419538,2.3173742662068237
37001,37,169185,10367022,0.016319537085963547,20210424,130.0,137.0,2.121539821175261,2.235776580777006
37001,37,169185,10367022,0.016319537085963547,20210501,132.0,124.0,2.1541788953471883,2.02362259865948
37001,37,169185,10367022,0.016319537085963547,20210508,130.0,126.0,2.121539821175261,2.056261672831407
37001,37,169185,10367022,0.016319537085963547,20210515,115.0,82.0,1.876746764885808,1.338202041049011
37001,37,169185,10367022,0.016319537085963547,20210522,85.0,99.0,1.3871606523069016,1.6156341715103912
37001,37,169185,10367022,0.016319537085963547,20210529,77.0,117.0,1.256604355619193,1.909385839057735
37001,37,169185,10367022,0.016319537085963547,20210605,85.0,67.0,1.3871606523069016,1.0934089847595576
37001,37,169185,10367022,0.016319537085963547,20210612,69.0,119.0,1.1260480589314847,1.942024913229662
37001,37,169185,10367022,0.016319537085963547,20210619,80.0,72.0,1.3055629668770838,1.1750066701893753
37001,37,169185,10367022,0.016319537085963547,20210626,67.0,73.0,1.0934089847595576,1.191326207275339
